국문명,영문명
칼하트WIP,CARHARTT WIP
캐스트롬,CASSTROM
캐치볼,CATCHBALL
캐피디자인,KAPPY DESIGN
캔리프,canleap
캘빈클라인,Calvin Klein
캠브릿지사첼,CAMBRIDGE SATCHEL
캠프사이드,Campside
커렌트,CURRENT
커렌트,current
커먼센스,commonsense
커먼스탠다드,COMMON STANDARD
커밋체어,KERMIT CHAIR
커버프렌즈,COVERFRIENDS
커스텀에이드 리퍼블릭,CUSTOMADE REPUBLIC
커스텀플라스틱,KUSTOM PLASTIC
컨버스,CONVERSE
컨셉트컬리지,conceptcollege
컨츄리파우더,COUNTRYPOWDER
컴포트 컬러즈,COMFORT COLORS
케네스콜,KENNETH COLE
케네스콜,KENNETH COLE
케리울른밀즈,KERRY WOOLLEN MILLS
케이스로직,CASELOGIC
케인 피오니어,KEIN PIONIER
켄트,KENT
코르카,CORCA
코모레비,KORMOREBI
코어브라스,corebrass
코우코우,COUCOU
코유,KOYU
코이즈미,KOIZUMI
코치,COACH
코쿤,COCOON
코큐,kokyuu
코텍,KOTHEK
코튼벨,Cottonbell
콘트로바날레,CONTROBANAL3
콘페이토,CONFEITO
콜드웜,COLDWARM
콜마,colmar
콜카,KOLCA
콩 에이치투오,KONG H2O
콰시,QUACI
쿠드기어,COOD GEAR
쿠오트,quote
쿼르코어,QUARQOR
쿼크,quark
큐씨와이,QCY
크로마농,CROMANONG
크로스드레슬리,CROSSDRESSLY
크록스,CROCS
크루셜,CRUCIAL
크루치,KRUCHI
크루클린,CROOKLYN
클라우머니,clawmoney
클락스,CLARKS
클랩피자,clappizza
클레클레,clecle
클렛,CLET
클로띵스,clothinks
클로즈뮤지엄,CLOTHESMUSEUM
클립스어반,CLIPSURBAN
키데이,KIDAY
키매,KKIMAE
키먼,keymun
키치 스튜디오,Kitch Studio
키치니,KITCHNY
키치클럽,KITCH CLUB
키친에이드,KitchenAid
키픔,KEEP'EM
킨,KEEN
킴클로딩,KIM CLOTHING
킷시,keithssy
킹베리,KINGVERY
킹스톤,Kingston
킹아카이브,THE K-ING ARCHIVES
타마니와,TAMANIWA
타미진스,TOMMY JEANS
타미힐피거,TOMMY HILFIGER
타미힐피거,Tommy Hilfiger
타미힐피거,tommy hilfiger
타미힐피거 시계,tommy hilfiger watch
타이온,TAION
탄탄웨어,TANTANWEAR
탈렌,TALEN
탐스,TOMS
탐탁,tomtoc
탠더랩,tenderlab
테드베이커,TED BAKER
테이스트 오브 에센스,Taste Of Essence
텔릭,TELIC
템포로리.서울,TEMPORARY.SEOUL
톤노22,TONNO22
톰맥켄,ThomMcAn
톰브라운,THOM BROWNE
투니슨,TOONISON
투모로우오브젝트,Tomorrow Object
투문,Two Moon
투에프로우,2FLOW
툴러드,TOOLORED
툴레,THULE
툴스 비씨8000,TOOLS BC8000
트라이브,TRIBE
트래블블루,Travel Blue
트레셔,THRASHER
트리플에이,AAA
트릴리온,TRILLION
틀영,TLEYOUNG
티볼리오디오,Tivoli Audio
티엠오 바이 써틴먼스,TMO BY 13MONTH
티티티타입,tttType
팀버랜드,Timberland
파나컬트,FANACULT
파라시아,Paracia
파르아비옹,Par Avion
파르티멘토,PARTIMENTO
파소티,PASOTTI
파스코로젠,PASCOROZEN
파스텔 클라우드,PASTEL CLOUD
파우즈앤브레이크,pause&break
파이,ffai
파이브 브라더,Five Brother
파이살론,PI-SALON
파인드칠린,FIND CHILLIN
파타고니아,PATAGONIA
파퓸드팜므,PARFUM DE FEMME
팔라스,Palace
팝소켓,POPSOCKETS
팬암,PAN AM
퍼블리쉬,PUBLISH
퍼펙트코너,PERFECT CORNER
펄리모어,PEARLY MORE
펌리,Firmly
페더웍스,featherworks
페몬트,pemont
페이스풀,FAITHFUL
페이탈리즘,FATALISM
페이퍼보이,PAPERBOY
펜들턴,PENDLETON
펠라스1932,FELLAS1932
포니,PONY
포비엘,For.B.L
포셉,FOCEPS
포쉬프로젝트,poshproject
포스333,PHOS333
포이어,FOYER
포즈간츠,poseganch
포지오,FOZIO
포콤마,FOURCOMMA
포텐,POTEN
폰,PON
폴 코어,paul core
폴로 랄프 로렌,Polo Ralph Lauren
폴로 랄프 로렌 언더웨어,POLO RALPH LAUREN UNDER WEAR
폴브레이크,fall break
폴브레이크,fall break
푸마,PUMA
푸마,PUMA
푸쉬크리에이트,PUSH CREATE
프라이하잇,FREIHEIT
프랭크 제이 2007,FRANK J 2007
프레임헌트,FRAMEHUNT
프렌다 프롬 플랜트,PRENDA FROM PLANT
프로드셔츠,PRODESHIRT
프롬마크,FROMMARK
프루이,FRUI
프룻오브더룸,FRUIT OF THE LOOM
프리저브드스테이션,PRESERVED STATION
프리키쉬빌딩,FREAKISHBUILDING
프릭스,FREAKS
프린트스타,PRINTSTAR
프린트스타,PRINTSTAR
플래토,PLATEAU
